class,total39864,total39865,total39866,total39867,total39868,total39869,total39870,total39871,total39872,total39873,total39874,total39875,total39876,total39877,total39878,total39879,total39880,total39881,total39882,total39883,ARM1A,ARM1B,ARM2A,ARM2B,ARM3A,ARM3B,ARM4A,ARM4B,BAL1A,BAL1B,DRA1A,DRA1B,WHE1A,WHE1B,WHE2A,WHE2B,ZET1A,ZET1B,ZET2A,ZET2B
k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;s__Spilomelinae;g__Desmia;s__Janzen19BOLD:AAA0468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;s__Acentropinae;g__Parapoynx;s__diminutalisBOLD:AAA0472,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;s__Acentropinae;g__Parapoynx;s__fluctuosalisBOLD:AAA0473,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;s__Spilomelinae;g__Dichocrocis;s__tlapalisBOLD:AAA0478,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;s__Spilomelinae;g__Maracayia;s__sp.1YBBOLD:AAA0488,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;s__Spilomelinae;g__Desmia;s__ploralisDHJ03BOLD:AAA0501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;s__Spilomelinae;g__Diaphania;s__sp.1YBBOLD:AAA0539,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;s__Spilomelinae;g__spiloBioLep01;s__BioLep577BOLD:AAA0554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;s__Spilomelinae;g__Lamprosema;s__BioLep331BOLD:AAA0559,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,1,1,0
k__Animalia;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Crambidae;s__Spilomelinae;g__Pantographa;s__expansalisDHJ01BOLD:AAA0561,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
